Term,Merriam Webster,Oxford Dictionary,Brave New Words
worm,before 12th century,Old English wyrm (noun),1975
xeno-,X,X,1949
xenoanthropology,X,X,1966
xenobiological,X,X,1958
xenobiologist,X,X,1954
xenobiology,X,1950s; earliest use found in Robert A. Heinlein (1907–1988),1954
xenocide,X,X,1983
xenolinguist,X,X,1989
xenological,X,X,1950
xenologist,X,X,1949
xenology,X,1950s: from Greek xenos ‘stranger,1954
X-Phile,X,X,1994
zero-g,X,X,1952
zero gravity,X,X,1938
zine,1965,X,1944
